NU_ANO_CENSO|CO_IES|NO_IES|SG_IES|CO_MANTENEDORA|NO_MANTENEDORA|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_REGIAO|CO_UF|CO_MUNICIPIO|IN_CAPITAL|QT_TEC_TOTAL|QT_TEC_FUNDAMENTAL_INCOMP_FEM|QT_TEC_FUNDAMENTAL_INCOMP_MASC|QT_TEC_FUNDAMENTAL_COMP_FEM|QT_TEC_FUNDAMENTAL_COMP_MASC|QT_TEC_MEDIO_FEM|QT_TEC_MEDIO_MASC|QT_TEC_SUPERIOR_FEM|QT_TEC_SUPERIOR_MASC|QT_TEC_ESPECIALIZACAO_FEM|QT_TEC_ESPECIALIZACAO_MASC|QT_TEC_MESTRADO_FEM|QT_TEC_MESTRADO_MASC|QT_TEC_DOUTORADO_FEM|QT_TEC_DOUTORADO_MASC|IN_ACESSO_PORTAL_CAPES|IN_ACESSO_OUTRAS_BASES|IN_ASSINA_OUTRA_BASE|IN_REPOSITORIO_INSTITUCIONAL|IN_BUSCA_INTEGRADA|IN_SERVICO_INTERNET|IN_PARTICIPA_REDE_SOCIAL|IN_CATALOGO_ONLINE|QT_PERIODICO_ELETRONICO|QT_LIVRO_ELETRONICO|TP_REFERENTE|VL_RECEITA_PROPRIA|VL_RECEITA_TRANSFERENCIA|VL_RECEITA_OUTRA|VL_DESPESA_PESSOAL_DOCENTE|VL_DESPESA_PESSOAL_TECNICO|VL_DESPESA_PESSOAL_ENCARGO|VL_DESPESA_CUSTEIO|VL_DESPESA_INVESTIMENTO|VL_DESPESA_PESQUISA|VL_DESPESA_OUTRA
2018|1|UNIVERSIDADE FEDERAL DE MATO GROSSO|UFMT|1|FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO|1|1|5|51|5103403|1|1639|0|0|17|53|94|133|197|207|375|296|147|81|21|18|1||1|1|0|1|0|1|0|0|2|6608299|915210481.57|0.00|292614474.91|111169639.54|108135649.09|121572929.56|2149791.80|14695633.36|271480662.31
2018|2|UNIVERSIDADE DE BRASÍLIA|UNB|2|FUNDACAO UNIVERSIDADE DE BRASILIA|1|1|5|53|5300108|1|3171|0|0|11|39|195|247|295|388|796|646|253|205|55|41|1||1|1|0|1|1|1|0|1000000|2|51938375.89|86443059.26|48953220.96|1093875606.76|0.00|1093875606.76|211907407.61|19066763.45|11047477.83|446147214.95
2018|3|UNIVERSIDADE FEDERAL DE SERGIPE|UFS|3|FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE|1|1|2|28|2806701|0|1464|1|30|5|23|113|152|663|457|0|0|8|10|2|0|1||1|1|1|1|1|1|48036|256356|2|2534563.26|780691839.89|2048283.78|230345009.53|124031928.20|93794318.91|129449179.01|16413516.13|1030610.47|181187359.21
2018|4|UNIVERSIDADE FEDERAL DO AMAZONAS|UFAM|4|FUNDACAO UNIVERSIDADE DO AMAZONAS|1|1|1|13|1302603|1|1706|8|11|6|18|149|193|244|240|387|232|104|77|19|18|1||1|1|0|1|1|1|0|3212|1|4266650.55|918344320.55|107244705.69|383335700.75|0.00|115699177.12|155155716.59|15579015.27|1640089.82|134704820.00
2018|6|UNIVERSIDADE FEDERAL DE OURO PRETO|UFOP|6|UNIVERSIDADE FEDERAL DE OURO PRETO|1|1|3|31|3146107|0|750|5|35|3|15|34|83|54|108|109|112|96|69|15|12|1||1|1|1|1|1|1|5|9155|2|5137227.39|480029394.65|5793706.66|179174304.98|71774691.32|39850386.04|55064396.08|1061751.70|733199.99|143301589.59
2018|10|PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ|PUCPR|10|ASSOCIACAO PARANAENSE DE CULTURA - APC|5|1|4|41|4106902|1|936|0|1|1|2|197|186|263|123|97|30|14|14|8|0|1||1|0|1|1|1|1|60626|21543|2|631333461.12|2528840.54|7114095.09|183947480.84|43148174.52|96844135.90|104055111.89|201992090.78|10989402.82|0.00
2018|11|UNIVERSIDADE CATÓLICA DE PERNAMBUCO|UNICAP|11|CENTRO DE EDUCACAO TECNICA E CULTURAL|5|1|2|26|2611606|1|440|2|9|1|9|68|77|103|85|42|31|2|9|0|2|1||1|1|0|1|1|1|173|9426|2|149848320|0.00|34117085.00|70191522.00|29602698.00|41896873.00|43301097.00|8328956.00|608240.00|665034.00
2018|13|UNIVERSIDADE DE CAXIAS DO SUL|UCS|13|FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL|5|1|4|43|4305108|0|1015|11|17|4|5|101|117|387|206|97|32|17|11|8|2|1||1|1|0|1|1|1|10000|830000|2|331009790|0.00|24308630.00|120186361.60|42227640.36|39765393.00|130077351.90|13769234.07|4269763.00|0.00
2018|14|UNIVERSIDADE DO VALE DO RIO DOS SINOS|UNISINOS|14|ASSOCIACAO ANTONIO VIEIRA|5|1|4|43|4318705|0|1036|6|4|16|6|271|269|203|75|87|25|30|30|7|7|1||1|1|1|1|1|1|16721|65|2|440909902|16344568.00|74609301.00|132398263.00|37595585.00|54113532.00|98162843.00|5537898.00|10351858.00|29916586.00
2018|18|UNIVERSIDADE CATÓLICA DE PELOTAS|UCPEL|18|SOCIEDADE PELOTENSE DE ASSISTENCIA E CULTURA(SPAC)|5|1|4|43|4314407|0|232|2|4|2|7|29|40|63|25|29|14|11|5|0|1|1||1|1|0|1|0|1|38|7232|2|107074851|0.00|6107893.13|28812188.71|10334101.76|5711232.90|923638.27|2507269.86|3313203.80|40865497.54
2018|19|PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS|PUC-CAMPINAS|19|SOCIEDADE CAMPINEIRA DE EDUCACAO E INSTRUCAO|5|1|3|35|3509502|0|752|16|10|13|13|181|150|187|113|33|22|4|10|0|0|1||1|0|0|1|1|1|3244|7614|2|289390562.77|5514568.78|24289099.72|93674817.72|49987693.38|66330860.88|46164139.22|30276000.00|9797200.51|27421511.78
2018|20|UNIVERSIDADE DE PASSO FUNDO|UPF|20|FUNDACAO UNIVERSIDADE DE PASSO FUNDO|5|1|4|43|4314100|0|868|2|12|1|13|200|157|149|86|152|59|21|12|3|1|1||1|1|0|1|1|1|81|184893|1|322204585.9|3014239.36|9293725.50|103839469.63|37314818.64|63271218.84|107268724.78|10615183.74|6663410.72|17397833.75
2018|21|PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL|PUCRS|21|UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA|5|1|4|43|4314902|1|1953|35|70|89|88|338|613|246|231|92|57|28|24|20|22|1||1|1|1|1|1|1|41|553478|2|554933239.34|0.00|91711242.94|109594375.38|80229317.73|107974581.18|127952532.87|32747094.39|40710920.91|128000816.19
2018|19229|FACULDADE PRESBITERIANA MACKENZIE BRASILIA|FPMB|22|INSTITUTO PRESBITERIANO MACKENZIE|5|3|5|53|5300108|1|5|0|0|0|0|0|0|3|0|0|1|0|1|0|0|1||1|1|0|1|1|1|51784|15909|2|128619.88|0.00|0.00|494229.09|1002000.21|349350.16|0.00|3064153.71|0.00|3098553.14
